graph_id,vertices,edges,prim_total_cost,kruskal_total_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops,equal_cost,error
201,22,42,93.0,93.0,1.40,1.36,252,286,true,""
202,26,25,143.0,143.0,0.04,0.04,50,245,true,""
203,24,67,65.0,65.0,0.10,0.06,383,371,true,""
204,28,103,77.0,77.0,0.14,0.08,631,490,true,""
